"bloco","bairro","região","data","data relativa","concentração","desfile","final","local da concentracao","percurso","público estimado","ano do primeiro desfile"
"Monobloco","Centro","Centro","05/03/17","Domingo após o Carnaval","2017-03-05T06:00:00-03:00","2017-03-05T09:00:00-03:00","2017-03-05T15:00:00-03:00","Rua Primeiro de Março, entre Rua Buenos Aires e Rua do Rosário","Rua Primeiro de Março, seguindo até a Av. Presidente Antonio Carlos até a Rua Araújo Porto Alegre, onde encerra","400000","2001"
"Conjunto Habitacional Barangal","Ipanema","Zona Sul","05/03/17","Domingo após o Carnaval","2017-03-05T10:00:00-03:00","2017-03-05T11:00:00-03:00","2017-03-05T14:00:00-03:00","Avenida Vieira Souto, em frente ao Posto 9","Avenida Vieira Souto, do Posto 9 ao Posto 8, retornando ao Posto 9","1000","2002"
"Tô no Recreio com a Conflaria","Recreio","Barra/JPA","05/03/17","Domingo após o Carnaval","2017-03-05T10:00:00-03:00","2017-03-05T12:00:00-03:00","2017-03-05T16:00:00-03:00","Avenida Lucio Costa, em frente ao Posto 10","Avenida Lucio Costa, do Posto 10 até entrada da Praia da Reserva","5000","2009"
"União dos Blocos da Ilha do Governador","Ribeira","Zona Norte 3","05/03/17","Domingo após o Carnaval","2017-03-05T10:00:00-03:00","2017-03-05T12:00:00-03:00","2017-03-05T16:00:00-03:00","Praça Iaiá Garcia","Praça Iaia Garcia, Rua Fernandes da Fonseca, Rua Paramopama e Praça iaia Garcia","3000","2010"
"Broxadão","Copacabana","Zona Sul","05/03/17","Domingo após o Carnaval","2017-03-05T11:00:00-03:00","2017-03-05T16:00:00-03:00","2017-03-05T18:00:00-03:00","Avenida Atlântica, esquina com Rua Figueiredo de Magalhães","Avenida Atlântica, da Figueiredo de Magalhães até a República do Peru, retornando ao local de concentração","800","2011"
"Papudinho do Rio Comprido","Rio Comprido","Centro","05/03/17","Domingo após o Carnaval","2017-03-05T12:00:00-03:00","2017-03-05T14:00:00-03:00","2017-03-05T20:00:00-03:00","Praça Condessa Paulo de Frontin","Praça Condessa Paulo de Frontin, Rua Estrela, Rua Itapiru, Rua Caetano Martins, Rua Campos da Paz, Rua Aristides Lobo e Praça Condessa Paulo de Frontin","1000","1994"
"Bonde da Folia","Santa Teresa","Centro","05/03/17","Domingo após o Carnaval","2017-03-05T13:00:00-03:00","2017-03-05T15:00:00-03:00","2017-03-05T18:00:00-03:00","Rua Fonseca Guimarães","Rua Fonseca Guimarães, Rua Paschoal Carlos Magno, Rua almirante Alexandrino, Rua Dias de Barros e Largo do Curvelo","1000","2009"
"Banda da Constança Barbosa - Galo do Méier","Méier","Zona Norte 2","05/03/17","Domingo após o Carnaval","2017-03-05T14:00:00-03:00","2017-03-05T17:00:00-03:00","2017-03-05T20:00:00-03:00","Rua Constança Barbosa, em frente ao no 212","Rua Constança Barbosa, Rua Manuela Barbosa, Rua Dias da Cruz, Rua Magalhães Couto e Rua Manuela Barbosa","400","2015"
"Eu Sou Normal, mas o Côco é Loko","Barra da Tijuca","Barra/JPA","05/03/17","Domingo após o Carnaval","2017-03-05T14:00:00-03:00","2017-03-05T14:00:00-03:00","2017-03-05T20:00:00-03:00","Av. Lúcio Costa, em frente ao no 2.940 - Quiosque Côco Loko","Av. Lúcio Costa, em frente ao no 2.940 - Quiosque Côco Loko - Parado","500","2016"
"Quem Vai Vai, Quem Não Vai Não Cagueta!","Jardim Guanabara","Zona Norte 3","05/03/17","Domingo após o Carnaval","2017-03-05T14:00:00-03:00","2017-03-05T17:00:00-03:00","2017-03-05T20:00:00-03:00","Praça Jerusalém","Praça Jerusalem, Praia da Bica até Quiosque do Mexicano","2500","2011"
"Balbúrdia de Realengo","Realengo","Zona Oeste","05/03/17","Domingo após o Carnaval","2017-03-05T15:00:00-03:00","2017-03-05T18:00:00-03:00","2017-03-05T21:00:00-03:00","Rua Dona Olímpia 106","RUA DONA OLÍMPIA 106, ATÉ A  ESQUINA COM AVENIDA DO CANAL","1000","2015"
"Galinha do Meio-Dia","Ipanema","Zona Sul","05/03/17","Domingo após o Carnaval","2017-03-05T15:00:00-03:00","2017-03-05T16:00:00-03:00","2017-03-05T19:00:00-03:00","Avenida Vieira Souto, esquina com Henrique Dumont","Avenida Vieira Souto, da Henrique Dumont até o Posto 9","5000","1995"
"Boka de Espuma","Botafogo","Zona Sul","05/03/17","Domingo após o Carnaval","2017-03-05T16:00:00-03:00","2017-03-05T18:00:00-03:00","2017-03-05T21:00:00-03:00","Rua Marquês de Olinda, esquina com Rua Bambina","Rua Marquês de Olinda, Rua Muniz Barreto, Rua São Clemente, Rua Bambina e Rua Marquês de Olinda","10000","1984"
"Herdeiros da Vila","Vila Isabel","Tijuca e Adj","05/03/17","Domingo após o Carnaval","2017-03-05T18:00:00-03:00","2017-03-05T19:00:00-03:00","2017-03-05T21:00:00-03:00","Boulevard 28 de Setembro, em frente ao no 310","Boulevard 28 de Setembro, do no 310 Praça Barão de Drummond","600","2014"
"7 de Paus","Vila Isabel","Tijuca e Adj","05/03/17","Domingo após o Carnaval","2017-03-05T19:00:00-03:00","2017-03-05T20:00:00-03:00","2017-03-05T21:00:00-03:00","Rua Visc. De Abaeté","Boulevard 28 de Setembro, da Rua Visconde de Abaeté até a Praça Barão de Drummond","2000","2008"
